,GSID,Project Name,Project Developer Name,Status,Sustainable Development Goals,Project Type,Country,Description,Estimated Annual Credits,Methodology,Size,Programme of Activities,POA GSID,CORSIA
620,11194,CPA 009 – Charcoal Stoves in Kenya,Biolite Inc,Gold Standard Certified Project,"13,15,5,7",Energy Efficiency - Domestic,Kenya,"The CPA involves the substitution of traditional and inefficient biomass cookstoves with efficient biomass cookstove (wood, charcoal) in rural and/or urban household in Kenya. This will result in a reduction in usage of fuel (biomass) for cooking purposes which contributes to environmental sustainability and community development. The CPA is registered under CDM PoA-7997 with reference no: 7997-P1-0009-CP1.",48387,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,Small Scale,VPA,11191.0,0
621,11193,CPA 008 – Charcoal Stoves in Kenya,Biolite Inc,Gold Standard Certified Project,"13,15,5,7",Energy Efficiency - Domestic,Kenya,"The CPA involves the substitution of traditional and inefficient biomass cookstoves with efficient biomass cookstove (wood, charcoal) in rural and/or urban household in Kenya. This will result in a reduction in usage of fuel (biomass) for cooking purposes which contributes to environmental sustainability and community development. The CPA is registered under CDM PoA-7997 with reference no: 7997-P1-0008-CP1.",48387,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,Small Scale,VPA,11191.0,0
622,11192,CPA 003 – BioLite HomeStove in Kenya,Biolite Inc,Gold Standard Certified Project,"13,15,5,7",Energy Efficiency - Domestic,Kenya,"The CPA involves the substitution of traditional and inefficient biomass cookstoves with efficient biomass cookstove (wood, charcoal) in rural and/or urban household in Kenya. This will result in a reduction in usage of fuel (biomass) for cooking purposes which contributes to environmental sustainability and community development. The CPA is registered under CDM PoA-7997 with reference no: 7997-P1-0003-CP1.",48500,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,Small Scale,VPA,11191.0,0
623,11191,BioLite Improved Cook stoves Programme,Biolite Inc,Gold Standard Certified Design,"13,15,5",Energy Efficiency - Domestic,India,"The Programme of Activities “BioLite Improved Cook stoves Programme” involves the substitution of traditional and inefficient biomass cookstoves with efficient biomass cookstove (wood, charcoal) in rural and/or urban household in India, Kenya and Uganda. This will result in a reduction in usage of fuel (biomass) for cooking purposes which contributes to environmental sustainability and community development. Prior to the implementation of project activity, the target beneficiary would have used biomass in traditional cookstove /three-stone fired without an improved combustion system.
The program is a voluntary initiative coordinated by BioLite India Private Limited (BioLite) as the coordinating/managing entity (CME).
The PoA is a registered CDM PoA with Ref no: 7997.",0,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,Small Scale,POA,,0
624,11190,Household biogas plants in selected districts of Assam,Value Network Venture Advisory Services Pte. Ltd.,Gold Standard Certified Project,"13,3,7",Biogas - Heat,India,"The project activity involves bundling 5,000 household biogas plants located in rural parts of Assam in India commissioned from March 2020 onwards. The biogas plants are primarily deenbandhu model. The project biogas plant replaces commonly used inefficient wood fired mud stoves thereby replacing firewood consumption. 
The household biogas plants utilize cattle dung in the digester for the production of biogas which is burnt in gas stoves for household cookings. This leads to reduction of greenhouse gas emissions by displacing conventionally used non-renewable biomass with renewable biogas. In addition, the hygienic conditions in the rural areas will be improved by an appropriate disposal of waste. Further, residue from the bio digesters can be used as organic fertilizer and will improve soil fertility in rural areas. 
Project activity will contribute towards sustainable development by replacing firewood with biogas generated from the biodigesters.
",19040,AMS-I.E. Switch from Non-Renewable Biomass for Thermal Applications by the User,Small Scale,Standalone,,0
625,11189,Improved Cookstove and Safe Water Programme,Impact Carbon,Gold Standard Certified Design,"13,15,6,5,3,7,8,1,12",Energy Efficiency - Domestic,Kenya,"The purpose of proposed PoA is dissemination of improved cooking stoves and low-carbon water purification technologies to households, communities, and institutions in Nigeria and Kenya.

",200000,GS Water Access and WASH Methodology v1.,Small Scale,POA,,0
626,11188,GS7591 VPA 45 Murang'a Improved Cookstove Project,CO2balance UK ltd,Gold Standard Certified Design,"13,5,3,7",Energy Efficiency - Domestic,Kenya,"This Small-Scale Voluntary Project Activity in the Central Kenyan Aberdare Highlands is eligible under the Gold Standard methodology Technologies and Practices to Displace Decentralized Thermal Energy Consumption Version 3.1. The project will subsidise improved efficiency cookstoves developed by Wisdom Energy Hub Ltd. The improved stoves will reduce demand for wood fuel thereby reducing environmental degradation and greenhouse gas emissions, as well as reducing household air pollution.",24804,GS TPDDTEC v3.1,Small Scale,VPA,7591.0,0
627,11186,Afstor Solar Cooker,AFSTOR OY,Listed,"13,9,7",Energy Efficiency - Domestic,Zambia,"Afstor Ltd, in Partnership with the Green Living Movement (GLM) Zambia is has been implementing the solar cooker project, in Chiyumu and Chisuwo in Monze district, Southern province of Zambia. The solar cooker project is aimed at reducing the energy burden on the rural woman, girl child and Child-headed household. ThHe use of the solar cooker will translate to more time available for women to attend to household chores and personal needs. Additionally, this will also led to an increase in household income levels especially for female headed households and a significant reduction in health related disease affecting women. Women and the girl-child in rural communities are subjected to long hours in the bush fetching firewood for cooking and heating and in most cases, they have to walk long distances. The solar cooker project will help reduce indiscriminate cutting of trees for fuel wood for cooking and heating. The project has taken an integrated approach encompassing components such as reforestation. The integration model will help communities in the project area to have access to clean energy, promote sustainable forestry management, food security and climate resilient communities. This model will help promote access to renewable energy technologies as enshrined in the National Policy on Climate Change (2016). The project beneficiaries are encouraged to participate in tree planting activities, practicing sustainable farming methods and forest resources management.
The solar cooker project will supplement government’s efforts to counter the adverse impacts
of climate change and contribute to building climate resilience in vulnerable communities by providing access to renewable sources of energy.

",2000,AMS-I.K. Solar cookers for households,Micro scale,VPA,11164.0,0
628,11183,GS1247 VPA 310 - Togo Safe Water,CO2balance UK ltd,Gold Standard Certified Design,"13,6,5,3",Energy Efficiency - Domestic,Togo,"This project will support the provision of safe water to hundreds of households across Togo using borehole technology. By providing safe water, the project will ensure that households consume less firewood during the process of water purification and as a result there shall be a reduction of carbon dioxide from the combustion process.",9919,GS TPDDTEC v3.1,Micro scale,VPA,1247.0,0
629,11182,GS1247 VPA 309 - Togo Safe Water,CO2balance UK ltd,Gold Standard Certified Design,"13,6,5,3",Energy Efficiency - Domestic,Togo,"This project will support the provision of safe water to hundreds of households across Togo using borehole technology. By providing safe water, the project will ensure that households consume less firewood during the process of water purification and as a result there shall be a reduction of carbon dioxide from the combustion process.",10000,GS TPDDTEC v3.1,Micro scale,VPA,1247.0,0
630,11181,GS1247 VPA 308 - Togo Safe Water,CO2balance UK ltd,Gold Standard Certified Design,"13,6,5,3",Energy Efficiency - Domestic,Togo,"This project will support the provision of safe water to hundreds of households across Togo using borehole technology. By providing safe water, the project will ensure that households consume less firewood during the process of water purification and as a result there shall be a reduction of carbon dioxide from the combustion process.",10000,GS TPDDTEC v3.1,Micro scale,VPA,1247.0,0
631,11180,GS1247 VPA 307 - Togo Safe Water,CO2balance UK ltd,Gold Standard Certified Design,"13,6,5,3",Energy Efficiency - Domestic,Togo,"This project will support the provision of safe water to hundreds of households across Togo using borehole technology. By providing safe water, the project will ensure that households consume less firewood during the process of water purification and as a result there shall be a reduction of carbon dioxide from the combustion process.",10000,GS TPDDTEC v3.1,Micro scale,VPA,1247.0,0
632,11179,GS1247 VPA 306 - Togo Safe Water,CO2balance UK ltd,Gold Standard Certified Design,"13,6,5,3",Energy Efficiency - Domestic,Togo,"This project will support the provision of safe water to hundreds of households across Togo using borehole technology. By providing safe water, the project will ensure that households consume less firewood during the process of water purification and as a result there shall be a reduction of carbon dioxide from the combustion process.",10000,GS TPDDTEC v3.1,Micro scale,VPA,1247.0,0
633,11178,GS1247 VPA 305 - Togo Safe Water,CO2balance UK ltd,Gold Standard Certified Design,"13,6,5,3",Energy Efficiency - Domestic,Togo,"This project will support the provision of safe water to hundreds of households across Togo using borehole technology. By providing safe water, the project will ensure that households consume less firewood during the process of water purification and as a result there shall be a reduction of carbon dioxide from the combustion process.",10000,GS TPDDTEC v3.1,Micro scale,VPA,1247.0,0
634,11177,GS1247 VPA 304 - Togo Safe Water,CO2balance UK ltd,Gold Standard Certified Design,"13,6,5,3",Energy Efficiency - Domestic,Togo,"This project will support the provision of safe water to hundreds of households across Togo using borehole technology. By providing safe water, the project will ensure that households consume less firewood during the process of water purification and as a result there shall be a reduction of carbon dioxide from the combustion process.",9919,GS TPDDTEC v3.1,Micro scale,VPA,1247.0,0
635,11176,GS1247 VPA 303 - Togo Safe Water,CO2balance UK ltd,Gold Standard Certified Design,"13,6,5,3",Energy Efficiency - Domestic,Togo,"This project will support the provision of safe water to hundreds of households across Togo using borehole technology. By providing safe water, the project will ensure that households consume less firewood during the process of water purification and as a result there shall be a reduction of carbon dioxide from the combustion process.",10000,GS TPDDTEC v3.1,Micro scale,VPA,1247.0,0
636,11175,GS1247 VPA 302 - Togo Safe Water,CO2balance UK ltd,Gold Standard Certified Design,"13,6,5,3",Energy Efficiency - Domestic,Togo,"This project will support the provision of safe water to hundreds of households across Togo using borehole technology. By providing safe water, the project will ensure that households consume less firewood during the process of water purification and as a result there shall be a reduction of carbon dioxide from the combustion process.",10000,GS TPDDTEC v3.1,Micro scale,VPA,1247.0,0
637,11174,GS1247 VPA 301 - Togo Safe Water,CO2balance UK ltd,Gold Standard Certified Design,"13,6,5,3",Energy Efficiency - Domestic,Togo,"This project will support the provision of safe water to hundreds of households across Togo using borehole technology. By providing safe water, the project will ensure that households consume less firewood during the process of water purification and as a result there shall be a reduction of carbon dioxide from the combustion process.",9919,GS TPDDTEC v3.1,Micro scale,VPA,1247.0,0
638,11173,Decentralized Clean Cooking for Smallholder Farmers in Mexico,Buen Manejo del Campo S.A de C.V,Gold Standard Certified Design,"13,5,3,7,8",Biogas - Heat,Mexico,"Buen Manejo del Campo S.A de C.V (Sistema.bio) is a social enterprise that provides access to innovative biodigester technology, training and financing to address the challenges of poverty, food security, and climate change. Sistema.bio manufactures and distributes high-quality, affordable biodigesters that enable farmers around the world to convert waste into energy and fertilizer. By providing flexible interest-free repayment plans and comprehensive monitoring services, Sistema.bio works with farmers to ensure they become more sustainable, independent, and productive while mitigating the carbon emissions generated by agricultural activities. This project will provide a wide range of social, economic and environmental benefits for families and communities in Mexico through the installation of biodigesters.

The project includes 9 sizes of biodigesters to adjust to the different types of farmers. The project will focus on small and medium-scale producers in Mexico, specifically subsistence farmers who typically use woodfuel or LPG for their energy needs both in the household and productive uses in the farm, and who currently do not manage the manure generated by their animals and have either solid or liquid storage practices for this. The project will install 3,000 biodigesters over a period of 30 months in Mexico, with a focus on the Bajío, and the central and southeastern states of the country.",59236,GS TPDDTEC v3.1,Small Scale,Standalone,,0
639,11171,Phu Lac 2 Wind Farm - Phase 2 – 25.2 MW,EKI Energy Services Limited,Listed,"13,7,8",Wind,Viet Nam,"Phu Lac 2 wind power project activity involves the construction of an on-shore wind power plant in Phu Lac, Binh Thuan province, Vietnam with a total capacity of 25.2 MW. The project involves the installation of Vestas Make (Model: V150-4.2MW) 6 wind turbines generator (WTG) of 4.2 MW capacity each and net power generated from the project activity is supplied to the national grid via 22/110KV substation.",72535,ACM0002 Grid-connected electricity generation from renewable sources,Large Scale,Standalone,,0
640,11170,Loi Hai 2 Wind Farm Project – 29.4 MW,EKI Energy Services Limited,Listed,"13,7,8",Wind,Viet Nam,"Loi Hai 2 wind power project activity involves the construction of an on-shore wind power plant in Loi Hai, Ninh Thuan province, Vietnam with a total capacity of 29.4 MW. The project involves the installation of Vestas Make (Model: V150-4.2MW) 7 wind turbines generator (WTG) of 4.2 MW capacity each and net power generated from the project activity is supplied to the national grid via 22/110KV substation.",98636,ACM0002 Grid-connected electricity generation from renewable sources,Large Scale,Standalone,,0
641,11169,Aqua Clara Safe Water Program,ClimateCare Limited,Gold Standard Certified Design,"13,6,3,8",Energy Efficiency - Domestic,Kenya,"The Aqua Clara Safe water Program hereinafter referred to as the ‘project activity’, is a program that seeks to distribute point of use water filters to households within 32 Counties in the Republic of Kenya. The project has been developed by Aqua Clara Foundation. The filters technology comprises of the BioSand Filter (BSF) and Hollow fiber filters (HFF) for both household and institutional use. By using the water filters, the project displaces the use of firewood fuel traditionally used to boil water for consumption and in the alternative offer a cost effective, sustainable, easy-to-use, and accessible solution to water treatment especially among households and institutions that consume unsafe raw water. 

Additionally, the project activity will actively reduce CO2 emissions and associated Indoor Air pollution (IAP) associated illnesses among the benefitting households. Increased access to consumption of safe water will also significantly contribute towards reduced incidences of waterborne diseases. 
The proposed project activity will distribute and install at least 500 BioSand Filters (BSF), 77,500 Household Hollow Fibre filters (HHHF) and 1,330 Institutional Hollow fiber filters (IHFF) within the targeted 32 counties in Kenya. By the time of this submission, the project has distributed 1,054 Household Hollow Fiber Filters and 50 Institutional Hollow Fiber Filters within the 32 counties.",195994,GS Methodology for emission reductions from safe drinking water supply,Large Scale,Standalone,,0
642,11167,Taishan Geothermal Central Heating System,Profit Carbon Environmental Energy Technology (Shanghai) Co. Ltd.,Gold Standard Certified Project,"13,7,8",Geothermal,China,"The project activity is designed to introduce geothermal energy based space heating system to realize heat supply to a series of new residential buildings and commercial buildings in Taishan village over winter season, which will displace heat supply from isolated coal-fired boilers as a business-as-usual scenario in the project area.

Taishan Village is in Longhu Town, Xinzheng City of Henan Province. The proposed project will involve the construction and operation of geothermal production wells, reinjection wells, heat substations and heat supply pipelines. It can supply geothermal heat to 2,480.907 thousand m2 of residential buildings and 94.516 thousand m2 with a total heating load of 116.84MW. The scenario prior to the implementation of the proposed project activity is that heat supplied to the building areas in winter will be provided by isolated coal-fired boilers. 
",143987,AM0072 Fossil Fuel Displacement by Geothermal Resources for Space Heating,Large Scale,Standalone,,1
643,11166,Solar Power for Rural Villages in Mali,atmosfair gGmbH,Gold Standard Certified Design,"13,7,8",Solar Thermal - Electricity,Mali,The aim of the project named “Solar Power for Rural Villages in Mali” is to facilitate access to clean and affordable energy in rural communities in Mali with the installation and operation of solar-PV power plants in combination with battery energy storage systems and a smart meter network.,3000,AMS-I.L. Electrification of rural communities using renewable energy,Micro scale,Standalone,,0
644,11165,Choir Wind Farm Project,UPC Renewables Asia I Ltd,Listed,"13,9,8",Wind,Mongolia,"Choir Wind Farm Project (the ”proposed project activity”) is located 6km to the North East of Choir Soum, Gobisumber Province and 230km to the South of Ulaanbaatar, Mongolia . 
The proposed project activity, developed by Wind Farm Choir LLC, will include 14 wind turbines with individual capacity of 4.2MW and with a total installed capacity of 58.8 MW. The power generated by the proposed project activity will be supplied to the Mongolia’s national electricity grid (via one of the five subsystems- the Central Energy System, CES). The Project’s on‐site electrical gathering system will collect power from the turbines at a voltage of 35 kV and then be stepped-up to 110kV and transmitted to the state owned “Choir” Substation (35KV/110KV) via a transmission line of 110 kV capacity. The expected net annual power supply to the grid is about 182,868MWh. It is expected to reduce GHG emissions by 159,278 tCO2e annually.",159278,ACM0002 Grid-connected electricity generation from renewable sources,Large Scale,Standalone,,0
645,11163,PoA for the dissemination of clean cooking technologies in households and communities,atmosfair gGmbH,Listed,"3,7,8",Energy Efficiency - Domestic,Guatemala,"This PoA increases access to cleaner and more energy-efficient cooking technologies, in particular for rural households and communities in the host countries. This PoA thereby reduces the use of woody biomass such as firewood and charcoal and also the use of fossil fuels like kerosene on low-quality stoves and fireplaces at the household and community level. By reducing the use of fossil fuels and woody biomass, the PoA avoids CO2-emissions and contributes to the sustainable development of the host parties.",0,AMS-I.E. Switch from Non-Renewable Biomass for Thermal Applications by the User,Small Scale,POA,,0
646,11157,GS5658 VPA 40: Fuel-efficient cookstoves for the resilience of rural communities in Burundi,Carbonsink (Carbonsink Group S.r.l.),Gold Standard Certified Design,"13,15,3,7,1",Energy Efficiency - Domestic,Burundi,"The micro-scale Voluntary Project Activity (VPA) is planning to manufacture and distribute energy efficient cookstoves of the BIIKIGITI model within the districts of Kayanza, Ngozi and Kirundo in Burundi. The project is carried out by the consortium Fondazione AVSI and Norwegian Church Aid under the main project “UMUCO W`ITERAMBERE - Contribution à la résilience intégrée des communautés rurales à travers l’accès à l’énergie durable” financed by the European Union.
The distribution of cookstoves is expected to include around 3.500 stoves. Most families in Burundi cook with traditional inefficient cookstoves that consume large amounts of firewood. The consume of firewood is increasing the rate of deforestation and land degradation, and its combustion is a significant source of greenhouse gas (GHG) emissions responsible for climate change. In addition to the environmental consequences, there are serious health implications related with the inefficient cooking methods through the exposure on the smoke and other emissions. The project will address the challenges above by reducing the consume of wood during the cooking activities. Besides reducing greenhouse gas emission and contributing to climate change mitigation in line with the UN’s Sustainable Development Goal number 13 (“Climate Action”), the project activities are foreseen to contribute also other sustainable development goals.",7699,GS MS Simplified Methodology for Efficient Cookstoves v1.,Micro scale,VPA,5658.0,0
647,11156,GS5658 VPA 39: Fuel-efficient cookstoves for the resilience of rural communities in Burundi,Carbonsink (Carbonsink Group S.r.l.),Gold Standard Certified Design,"13,15,3,7,1",Energy Efficiency - Domestic,Burundi,"The micro-scale Voluntary Project Activity (VPA) is planning to manufacture and distribute energy efficient cookstoves of the BIIKIGITI model within the districts of Kayanza, Ngozi and Kirundo in Burundi. The project is carried out by the consortium Fondazione AVSI and Norwegian Church Aid under the main project “UMUCO W`ITERAMBERE - Contribution à la résilience intégrée des communautés rurales à travers l’accès à l’énergie durable” financed by the European Union.
The distribution of cookstoves is expected to include around 3.500 stoves. Most families in Burundi cook with traditional inefficient cookstoves that consume large amounts of firewood. The consume of firewood is increasing the rate of deforestation and land degradation, and its combustion is a significant source of greenhouse gas (GHG) emissions responsible for climate change. In addition to the environmental consequences, there are serious health implications related with the inefficient cooking methods through the exposure on the smoke and other emissions. The project will address the challenges above by reducing the consume of wood during the cooking activities. Besides reducing greenhouse gas emission and contributing to climate change mitigation in line with the UN’s Sustainable Development Goal number 13 (“Climate Action”), the project activities are foreseen to contribute also other sustainable development goals.",7699,GS MS Simplified Methodology for Efficient Cookstoves v1.,Micro scale,VPA,5658.0,0
648,11155,GS5658 VPA 38: Fuel-efficient cookstoves for the resilience of rural communities in Burundi,Carbonsink (Carbonsink Group S.r.l.),Gold Standard Certified Design,"13,15,3,7,1",Energy Efficiency - Domestic,Burundi,"The micro-scale Voluntary Project Activity (VPA) is planning to manufacture and distribute energy efficient cookstoves of the BIIKIGITI model within the districts of Kayanza, Ngozi and Kirundo in Burundi. The project is carried out by the consortium Fondazione AVSI and Norwegian Church Aid under the main project “UMUCO W`ITERAMBERE - Contribution à la résilience intégrée des communautés rurales à travers l’accès à l’énergie durable” financed by the European Union.
The distribution of cookstoves is expected to include around 3.500 stoves. Most families in Burundi cook with traditional inefficient cookstoves that consume large amounts of firewood. The consume of firewood is increasing the rate of deforestation and land degradation, and its combustion is a significant source of greenhouse gas (GHG) emissions responsible for climate change. In addition to the environmental consequences, there are serious health implications related with the inefficient cooking methods through the exposure on the smoke and other emissions. The project will address the challenges above by reducing the consume of wood during the cooking activities. Besides reducing greenhouse gas emission and contributing to climate change mitigation in line with the UN’s Sustainable Development Goal number 13 (“Climate Action”), the project activities are foreseen to contribute also other sustainable development goals.",7699,GS MS Simplified Methodology for Efficient Cookstoves v1.,Micro scale,VPA,5658.0,0
649,11154,JOil Jatropha plantation in Ghana ,JOIL (S) Pte. Ltd.,Gold Standard Certified Project,"13,15,8",A/R,Ghana,"The JOil Jatropha plantation project is located near Yeji, the district capital of the Pru District Assembly of the Brong Ahafo Region of Ghana. The project aims to expand its plantation activities to mitigate climate change and improve the land use of open shrubland. Furthermore, the project missions to create jobs in rural areas through the sustainable production of biofuels and enhance the livelihood of communities. The project is working with local communities and out-growers to promote sustainability practices. The project attempts to the plantation of about 3,944.20 ha with Jatropha curcas. In 2018, the area of 1,018.0 ha have been planted and the remaining will be planted in 2022.",55072,Afforestation/Reforestation GHG Emissions Reduction & Sequestration Methodology,Small Scale,Standalone,,0
650,11153,GS10959 VPA10 Safe Water Project in Bangladesh IV,Guangzhou Iceberg Environmental Consulting Services Co. Ltd,Gold Standard Certified Design,"13,6,5,3",Energy Efficiency - Domestic,Bangladesh,"The project will provide safe water to people in Bangladesh through borehole and chemical disinfection when required. It will decrease the consumption of non renewable biomass for water boiling so as to protect forest ecosystem and reduce related greenhouse gas emissions. In addition, the project will improve water quality and indoor air quality.",60000,GS TPDDTEC v3.1,Small Scale,VPA,10959.0,0
651,11152,GS10959 VPA09 Safe Water Project in Bangladesh III,Guangzhou Iceberg Environmental Consulting Services Co. Ltd,Gold Standard Certified Design,"13,6,5,3",Energy Efficiency - Domestic,Bangladesh,"The project will provide safe water to people in Bangladesh through borehole and chemical disinfection when required. It will decrease the consumption of non renewable biomass for water boiling so as to protect forest ecosystem and reduce related greenhouse gas emissions. In addition, the project will improve water quality and indoor air quality.",60000,GS TPDDTEC v3.1,Small Scale,VPA,10959.0,0
652,11151,GS10959 VPA08 Safe Water Project in Bangladesh II,Guangzhou Iceberg Environmental Consulting Services Co. Ltd,Gold Standard Certified Design,"13,6,5,3",Energy Efficiency - Domestic,Bangladesh,"The project will provide safe water to people in Bangladesh through borehole and chemical disinfection when required. It will decrease the consumption of non renewable biomass for water boiling so as to protect forest ecosystem and reduce related greenhouse gas emissions. In addition, the project will improve water quality and indoor air quality.",60000,GS TPDDTEC v3.1,Small Scale,VPA,10959.0,0
653,11150,GS10959 VPA07 Safe Water Project in Bangladesh I,Guangzhou Iceberg Environmental Consulting Services Co. Ltd,Gold Standard Certified Design,"13,6,5,3",Energy Efficiency - Domestic,Bangladesh,"The project will provide safe water to people in Bangladesh through borehole and chemical disinfection when required. It will decrease the consumption of non renewable biomass for water boiling so as to protect forest ecosystem and reduce related greenhouse gas emissions. In addition, the project will improve water quality and indoor air quality.",60000,GS TPDDTEC v3.1,Small Scale,VPA,10959.0,0
654,11149,Energy Efficient Stoves Program - CPA 3,World Vision Australia,Gold Standard Certified Design,"13,7,8",Energy Efficiency - Domestic,Ethiopia,"This project involves the distribution of energy efficient cooking stoves to households in the Federal Democratic Republic of Ethiopia. The majority of households in rural areas of the Federal Democratic Republic of Ethiopia cook over open fire, and this leads to a very significant consumption of wood, as well as a major health risk. To combat this problem, this project will distribute low cost, high efficiency stove designs that use considerably less wood than conventional open fires.",46528,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,Small Scale,VPA,11146.0,0
655,11148,Energy Efficient Stoves Program - CPA 2,World Vision Australia,Gold Standard Certified Design,"13,7,8",Energy Efficiency - Domestic,Ethiopia,"This project involves the distribution of energy efficient cooking stoves to households in the Federal Democratic Republic of Ethiopia. The majority of households in rural areas of the Federal Democratic Republic of Ethiopia cook over open fire, and this leads to a very significant consumption of wood, as well as a major health risk. To combat this problem, this project will distribute low cost, high efficiency stove designs that use considerably less wood than conventional open fires.",46528,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,Small Scale,VPA,11146.0,0
656,11147,Energy Efficient Stoves Program - CPA1,World Vision Australia,Gold Standard Certified Design,"13,7,8",Energy Efficiency - Domestic,Ethiopia,"This project involves the distribution of energy efficient cooking stoves to households in the Federal Democratic Republic of Ethiopia. The majority of households in rural areas of the Federal Democratic Republic of Ethiopia cook over open fire, and this leads to a very significant consumption of wood, as well as a major health risk. To combat this problem, this project will distribute low cost, high efficiency stove designs that use considerably less wood than conventional open fires.",46528,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,Small Scale,VPA,11146.0,0
657,11146,Energy Efficient Stoves Program,World Vision Australia,Gold Standard Certified Design,"13,7,8",Energy Efficiency - Domestic,Ethiopia,"This project involves the distribution of energy efficient cooking stoves to households in the Federal Democratic Republic of Ethiopia. The majority of households in rural areas of the Federal Democratic Republic of Ethiopia cook over open fire, and this leads to a very significant consumption of wood, as well as a major health risk. To combat this problem, this project will distribute low cost, high efficiency stove designs that use considerably less wood than conventional open fires. ",139588,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,Small Scale,POA,,0
658,11145,TASC Clean Cooking PoA – VPA 1 (Zambia),THE AFRICAN STOVE COMPANY LIMITED,Gold Standard Certified Project,"13,5,3,7,8,1,12",Energy Efficiency - Domestic,Zambia,"The goal of the proposed project is to distribute improved cookstoves (ICS) in households in Zambia. 

The African Stove Company Ltd. (TASC) is the coordinating/managing entity (CME) of the PoA and is the sole implementer of the VPA. TASC’s mission is financing and developing high-impact climate mitigation projects. 
 
The VPA is an activity that was originally anticipated to be included as a CPA under a CDM PoA (6864: Fuel Efficient Stoves in Africa ) and is now transitioning from the CDM to the Gold Standard under the PoA GS11009: TASC Clean Cooking PoA. The VPA is therefore retroactive in nature, as the first ICS was distributed in Zambia on 26th August 2020. 

The VPA is implemented in communities Zambia where woodfuel is the primary source of energy for cooking and open, 3-stone fires are commonplace. 

The project ICS combust biomass fuels more efficiently, reducing the greenhouse gas (GHG) emissions and particulate emissions (PM), thus improving the indoor air quality in project households. Due to the higher thermal efficiency of the ICS relative to the 3-stone fires, the ICS reduce the amount of non-renewable biomass fuel required for meeting similar thermal energy needs.

In the absence of the proposed VPA, inefficient 3-stone fires are used for cooking and their replacement with project ICS reduces non-renewable biomass fuel consumption, saving greenhouse gas emissions.

At the time of VPA inclusion, there are 45,000 ICS planned for distribution under the VPA, of which c. 35,000 have been distributed and entered into the monitoring database. It is anticipated that the remaining ICS will be distributed by April 2021.",431949,GS TPDDTEC v3.1,Large Scale,VPA,11009.0,0
659,11144,Afyon Landfill Gas to Energy Project,Cagla Balci Eris,Listed,"13,7,8",Biogas - Electricity,Turkey,"The Afyon Landfill Gas to Energy Project is developed by “Afyon Yenilenebilir Enerji Elektrik Üretim A.Ş.” which is located Akçin District of Afyon province in Turkey. The proposed activity involves the collection and utilization of the LFG with an electricity component with an installed capacity 7.8 MWel.In the first crediting period (30 October 2020 – 29 October 2025), the project is expected to reduce 389,220 tCO2e, which is 77,844 tCO2e per year.",77844,ACM0001 Flaring or use of landfill gas,Large scale,Standalone,,0
660,11143,GS11143: VPA 1- Installation of High Efficiency Firewood Cookstoves in Zambia,C-Quest Capital Stoves Asia Ltd,Listed,"13,15,5,3,7,8",Energy Efficiency - Domestic,Zambia,"In rural Zambia, traditional cooking methods typically involve burning large amounts of wood in inefficient, open fires. These fires not only pose severe health risks to women and girls as the cooks of the households through the inhalation of smoke and toxic particulates but also, to the surrounding environment through the frequent and unsustainable harvest of large trees. Of the 56% of Zambia’s population living in the rural setting, 79% of them use charcoal and firewood as their primary fuel source. The VPA “Installation of High Efficiency Firewood Cookstoves in Zambia” will deploy improved cookstoves (ICS) that are substantially more fuel efficient for households. Rural communities in Zambia are considered as the target population at the start of the VPA.",339376,GS TPDDTEC v3.1,Large Scale,VPA,11142.0,0
661,11142,Installation of High Efficiency Firewood Cookstoves in Sub-Saharan Africa,C-Quest Capital Stoves Asia Ltd,Gold Standard Certified Design,"13,15,4,5,3,7,8,1",Energy Efficiency - Domestic,Malawi,"Majority of the population in Sub-Saharan Africa relies on solid fuels, mainly wood and charcoal for their primary cooking needs. Combined with the inefficient and unsafe traditional cooking methods, this trend accelerates land degradation and causes serious health problems in the region. Traditional cooking methods typically involve burning large amounts of wood in inefficient, open fires. These fires not only pose severe health risks to women and girls as the cooks of the households through the inhalation of smoke and toxic particulates but also, to the surrounding environment through the frequent and unsustainable harvest of large trees. Solid fuel cooking has also adverse impacts on the economy such as avoidable spending on fuels, time losses due to firewood collection, increased cost of health problems, and environmental cost of deforestation.

The PoA “Installation of High Efficiency Firewood Cookstoves in Sub-Saharan Africa” will deploy improved cookstoves (ICS) that are substantially more fuel efficient for households. Rural communities in Zambia and Malawi are considered as the target population at the start of the PoA. It is also possible to expand the activities to other countries in the region progressively.",559470,GS TPDDTEC v3.1,Large Scale,POA,,0
